-0.5	0.5	-1.5	-0.5	0 	0.0
-0.5	0.5	-0.5	 0.5	0 	0.051
-0.5    0.5	 0.5	 1.5	0	0.116
-0.5    0.5	 1.5	 2.5	0	0.049
-0.5    0.5	 2.5	 3.5	0	0.136
 0.5    1.5	-1.5	-0.5	0 	0.0
 0.5    1.5	-0.5	 0.5	0 	0.084
 0.5    1.5	 0.5	 1.5	0	0.088
 0.5    1.5	 1.5  	 2.5	0	0.067
 0.5    1.5	 2.5	 3.5	0	0.135
 1.5    2.5	-1.5	-0.5	0 	0.0
 1.5    2.5	-0.5	 0.5	0 	0.054
 1.5    2.5	 0.5	 1.5	0	0.067
 1.5    2.5	 1.5	 2.5	0	0.048
 1.5    2.5	 2.5	 3.5	0	0.240
